epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.888,0.01224,0.65187,0.76484,4.08491,2.93077e-05,2.93077e-05,2.93077e-05
2,93.0225,0.01047,0.63631,0.77291,4.02109,5.67059e-05,5.67059e-05,5.67059e-05
3,134.949,0.01234,0.63573,0.77118,4.39343,8.21681e-05,8.21681e-05,8.21681e-05
4,176.806,0.01271,0.59135,0.76369,4.31993,7.9288e-05,7.9288e-05,7.9288e-05
5,218.638,0.01011,0.6611,0.76945,4.48494,7.6384e-05,7.6384e-05,7.6384e-05
6,261.081,0.01114,0.67147,0.76772,4.38887,7.348e-05,7.348e-05,7.348e-05
7,306.182,0.00848,0.71009,0.76772,4.26681,7.0576e-05,7.0576e-05,7.0576e-05
8,350.757,0.00834,0.69625,0.7683,4.35153,6.7672e-05,6.7672e-05,6.7672e-05
9,395.018,0.00829,0.70663,0.76599,4.28983,6.4768e-05,6.4768e-05,6.4768e-05
10,439.543,0.00767,0.71066,0.76888,4.21687,6.1864e-05,6.1864e-05,6.1864e-05
11,483.894,0.00626,0.717,0.76772,4.24959,5.896e-05,5.896e-05,5.896e-05
12,528.381,0.01033,0.71585,0.77061,4.30526,5.6056e-05,5.6056e-05,5.6056e-05
13,572.781,0.00497,0.72738,0.76888,4.34203,5.3152e-05,5.3152e-05,5.3152e-05
14,617.323,0.00643,0.72392,0.76772,4.34249,5.0248e-05,5.0248e-05,5.0248e-05
15,661.847,0.00584,0.70375,0.76772,4.37076,4.7344e-05,4.7344e-05,4.7344e-05
16,710.752,0.00597,0.70029,0.77464,4.35075,4.444e-05,4.444e-05,4.444e-05
17,769.774,0.00707,0.6951,0.77176,4.50863,4.1536e-05,4.1536e-05,4.1536e-05
18,824.596,0.00589,0.70778,0.77176,4.42183,3.8632e-05,3.8632e-05,3.8632e-05
19,880.216,0.00614,0.69625,0.77176,4.42802,3.5728e-05,3.5728e-05,3.5728e-05
20,927.459,0.00585,0.71988,0.77176,4.4332,3.2824e-05,3.2824e-05,3.2824e-05
21,1017.11,0.00555,0.70144,0.77233,4.31268,2.992e-05,2.992e-05,2.992e-05
22,1062.76,0.00609,0.70144,0.77291,4.38809,2.7016e-05,2.7016e-05,2.7016e-05
23,1107.65,0.00659,0.6928,0.77233,4.35433,2.4112e-05,2.4112e-05,2.4112e-05
24,1152.54,0.00635,0.7072,0.77291,4.50309,2.1208e-05,2.1208e-05,2.1208e-05
25,1197.56,0.00518,0.70778,0.77233,4.48951,1.8304e-05,1.8304e-05,1.8304e-05
26,1242.5,0.005,0.70778,0.77291,4.4299,1.54e-05,1.54e-05,1.54e-05
27,1289.37,0.00378,0.71931,0.77176,4.33003,1.2496e-05,1.2496e-05,1.2496e-05
28,1351.03,0.00537,0.72161,0.77176,4.37566,9.592e-06,9.592e-06,9.592e-06
29,1404.89,0.00509,0.71931,0.77233,4.35012,6.688e-06,6.688e-06,6.688e-06
30,1453.37,0.00585,0.72334,0.77291,4.42688,3.784e-06,3.784e-06,3.784e-06
