epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.779,0.39152,0.23608,0.84354,0.92126,0.89139,0.92339,0.74189,0.81954,0.42002,1.13168,0.000254104,0.000254104,0.000254104
2,1038.39,0.43519,0.26374,0.85555,0.90896,0.8895,0.92133,0.73104,0.83433,0.44499,1.13335,0.000500331,0.000500331,0.000500331
3,1576.65,0.47108,0.28565,0.86456,0.92756,0.88789,0.91596,0.71691,0.83098,0.44328,1.10485,0.000736407,0.000736407,0.000736407
4,2072.64,0.48832,0.29436,0.8727,0.91517,0.88521,0.90335,0.72063,0.83661,0.45253,1.12262,0.000723321,0.000723321,0.000723321
5,2651.23,0.49007,0.29888,0.87299,0.90837,0.90133,0.91395,0.71793,0.84069,0.45027,1.12072,0.000708095,0.000708095,0.000708095
6,3201.53,0.49017,0.29721,0.87035,0.91834,0.86976,0.90845,0.71949,0.83772,0.4552,1.1161,0.000692869,0.000692869,0.000692869
7,3633.2,0.4861,0.29151,0.86823,0.89506,0.89095,0.9065,0.72823,0.84286,0.44823,1.11933,0.000677643,0.000677643,0.000677643
8,4184.62,0.48651,0.28892,0.87071,0.9312,0.8678,0.90627,0.73207,0.82145,0.45319,1.11026,0.000662417,0.000662417,0.000662417
9,4616.21,0.48367,0.28988,0.86834,0.91253,0.88709,0.91049,0.7221,0.83182,0.45083,1.10318,0.00064719,0.00064719,0.00064719
10,5190.29,0.47789,0.28478,0.86439,0.91694,0.88143,0.91112,0.72901,0.82327,0.43864,1.11727,0.000631964,0.000631964,0.000631964
11,5650.35,0.47356,0.28169,0.8653,0.92304,0.87699,0.90612,0.72281,0.8347,0.43202,1.1161,0.000616738,0.000616738,0.000616738
12,6079.52,0.46683,0.27921,0.86128,0.90444,0.88348,0.91124,0.72509,0.82758,0.44503,1.11951,0.000601512,0.000601512,0.000601512
13,6681.95,0.47361,0.28087,0.86707,0.9308,0.88711,0.91596,0.72357,0.84148,0.45522,1.1335,0.000586286,0.000586286,0.000586286
14,7191.11,0.46281,0.27586,0.86141,0.91941,0.87016,0.90382,0.71721,0.84515,0.45168,1.12604,0.000571059,0.000571059,0.000571059
15,7547.82,0.46859,0.27933,0.86511,0.90277,0.88519,0.90367,0.72245,0.83963,0.45806,1.12743,0.000555833,0.000555833,0.000555833
16,8161.77,0.45552,0.27304,0.86139,0.9249,0.88177,0.91298,0.72074,0.82823,0.45151,1.11908,0.000540607,0.000540607,0.000540607
17,8689.09,0.45736,0.27121,0.85918,0.91686,0.89029,0.91601,0.73504,0.82025,0.43078,1.1202,0.000525381,0.000525381,0.000525381
18,9165.44,0.45096,0.26895,0.85987,0.90189,0.89317,0.9099,0.72964,0.82615,0.44251,1.12691,0.000510155,0.000510155,0.000510155
19,9611.86,0.44914,0.26679,0.85782,0.93464,0.87534,0.91544,0.73181,0.82248,0.43632,1.12388,0.000494928,0.000494928,0.000494928
20,10092.6,0.426,0.25584,0.84802,0.92459,0.87846,0.90816,0.73149,0.82363,0.45157,1.1208,0.000479702,0.000479702,0.000479702
