epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.81,1.21759,0.68106,1.13748,0.85885,0.79475,0.84492,0.49927,1.67104,0.95718,1.61744,2.43097e-05,2.43097e-05,2.43097e-05
2,419.336,1.17527,0.65652,1.12309,0.84893,0.79386,0.84412,0.50389,1.67752,0.95012,1.62476,4.70378e-05,4.70378e-05,4.70378e-05
3,624.977,1.16087,0.64902,1.11752,0.87603,0.78167,0.84955,0.51095,1.63776,0.87496,1.59359,6.816e-05,6.816e-05,6.816e-05
4,830.481,1.15856,0.64854,1.11502,0.86027,0.78592,0.84789,0.50529,1.57511,0.77686,1.51504,6.5773e-05,6.5773e-05,6.5773e-05
5,1036.04,1.14565,0.63942,1.10319,0.85167,0.79627,0.846,0.50619,1.57552,0.77531,1.51647,6.3364e-05,6.3364e-05,6.3364e-05
6,1241.69,1.13228,0.63623,1.09844,0.86787,0.78898,0.84626,0.50675,1.57083,0.77575,1.5225,6.0955e-05,6.0955e-05,6.0955e-05
7,1447.63,1.13067,0.63169,1.09879,0.87801,0.78567,0.84632,0.50781,1.56856,0.77302,1.517,5.8546e-05,5.8546e-05,5.8546e-05
8,1653.54,1.12525,0.62285,1.09405,0.86856,0.78988,0.85187,0.51018,1.57231,0.77618,1.52382,5.6137e-05,5.6137e-05,5.6137e-05
9,1859.57,1.11381,0.62222,1.09289,0.87668,0.78113,0.84732,0.51103,1.66392,0.94226,1.61121,5.3728e-05,5.3728e-05,5.3728e-05
10,2065.7,1.10841,0.61598,1.08999,0.86415,0.77431,0.84838,0.51003,1.61392,0.83355,1.56519,5.1319e-05,5.1319e-05,5.1319e-05
11,2271.48,1.10155,0.61434,1.0854,0.85968,0.7913,0.84695,0.51092,1.65661,0.93591,1.62142,4.891e-05,4.891e-05,4.891e-05
12,2477.22,1.10065,0.61331,1.0837,0.87779,0.78287,0.84491,0.5123,1.57524,0.78083,1.53423,4.6501e-05,4.6501e-05,4.6501e-05
13,2683.21,1.09594,0.61069,1.07826,0.86276,0.7901,0.85066,0.51157,1.56698,0.76949,1.53016,4.4092e-05,4.4092e-05,4.4092e-05
14,2888.97,1.09352,0.61208,1.07744,0.85449,0.78997,0.84927,0.51289,1.56535,0.77112,1.53472,4.1683e-05,4.1683e-05,4.1683e-05
15,3094.88,1.07988,0.60666,1.07228,0.87661,0.79311,0.85018,0.5128,1.56558,0.76366,1.52841,3.9274e-05,3.9274e-05,3.9274e-05
16,3300.7,1.08309,0.60364,1.07467,0.88466,0.7856,0.85071,0.51181,1.56991,0.76597,1.53485,3.6865e-05,3.6865e-05,3.6865e-05
17,3506.08,1.07085,0.60211,1.06771,0.88009,0.78088,0.84893,0.51359,1.56472,0.7626,1.52959,3.4456e-05,3.4456e-05,3.4456e-05
18,3711.41,1.07672,0.60273,1.07103,0.86061,0.79373,0.8476,0.5157,1.55524,0.76499,1.52636,3.2047e-05,3.2047e-05,3.2047e-05
19,3917.03,1.06754,0.59822,1.06919,0.86867,0.78883,0.84916,0.51143,1.56411,0.76367,1.53135,2.9638e-05,2.9638e-05,2.9638e-05
20,4122.7,1.0707,0.59572,1.07133,0.85763,0.80029,0.85141,0.51702,1.56554,0.76017,1.53469,2.7229e-05,2.7229e-05,2.7229e-05
21,4346.45,1.03686,0.53511,1.11,0.87045,0.78196,0.85074,0.51398,1.56603,0.75429,1.54271,2.482e-05,2.482e-05,2.482e-05
22,4551.12,1.01721,0.51911,1.09763,0.84478,0.8018,0.85117,0.515,1.56551,0.75578,1.54444,2.2411e-05,2.2411e-05,2.2411e-05
23,4755.7,1.01127,0.5176,1.10102,0.84065,0.80472,0.84999,0.51397,1.565,0.75524,1.54237,2.0002e-05,2.0002e-05,2.0002e-05
24,4959.99,1.00567,0.51525,1.09277,0.86928,0.78103,0.84919,0.51535,1.56373,0.75817,1.54425,1.7593e-05,1.7593e-05,1.7593e-05
25,5164.18,0.99081,0.51217,1.08475,0.84675,0.79503,0.85029,0.51598,1.56277,0.75898,1.54525,1.5184e-05,1.5184e-05,1.5184e-05
26,5368.55,0.99026,0.5076,1.07996,0.84353,0.79697,0.84744,0.51362,1.56308,0.76024,1.54478,1.2775e-05,1.2775e-05,1.2775e-05
27,5573.01,0.99037,0.50884,1.08577,0.85628,0.79059,0.84912,0.51444,1.55994,0.75808,1.54247,1.0366e-05,1.0366e-05,1.0366e-05
28,5777.67,0.98126,0.50625,1.0793,0.84915,0.79385,0.84885,0.51568,1.56258,0.76092,1.54676,7.957e-06,7.957e-06,7.957e-06
29,5982.37,0.98826,0.50772,1.08696,0.85621,0.78876,0.84833,0.51555,1.56165,0.76151,1.54594,5.548e-06,5.548e-06,5.548e-06
30,6186.64,0.98682,0.50623,1.0839,0.85434,0.78992,0.84786,0.51449,1.56045,0.7622,1.54557,3.139e-06,3.139e-06,3.139e-06
